Substrate,Date,Location,HRTcrit,um,kchen,k1,k2,k1mod,k2mod,lag,kt,T80,T90
FINALEFFL(100),1,Fairoaks,6(0.42),0.16(0.42),0.15(0.42),0.1(0.85),0.15(-0.05),-0.05(0.95),-0.29(0.95),4(0.77),0.11,0,7
FINALEFFL(90)+EFFL(10),1,Fairoaks,2(0.57),0.44(0.57),0.64(0.57),0.18(0.94),0.3(0.94),-0.07(0.94),-0.03(0.94),2(0.93),0.31,26,31
Standard Ctrl-Cellulose,6,Lafayette Renew,6(0.52),0.17(0.52),0.07(0.52),0.13(0.97),0.09(0.82),-0.01(0.5),5.13(0.5),-5(0.93),0.04,7,12
Variable Ctrl-WAS+Inoculum,6,Lafayette Renew,7(0.58),0.15(0.58),0.14(0.58),0.1(0.95),0.04(0.83),-0.02(0.56),2.92(0.56),-5(0.91),0.04,12,23
WAS (80%) + Inoculum (20%),6,Lafayette Renew,14(0.3),0.07(0.3),0.01(0.3),0.14(0.98),0.06(0.89),-0.02(0.66),1.69(0.66),-2(0.98),0.04,8,17
WEFFL(10),2,Biotown,3(0.37),0.33(0.37),1.38(0.37),0.09(0.93),-0.18(-0.07),-0.06(0.84),2.64(0.84),1(0.95),0.1,29,31
WEFFL(10),3,Biotown,-20(0.57),-0.05(0.57),-0.08(0.57),0(0.98),14.53(0.85),-0.02(0.75),2.43(0.75),7(0.99),0.02,34,42
WEFFL(100),2,Biotown,9(0.23),0.12(0.23),0.09(0.23),0.94(0.7),0.07(0.86),-0.02(0.96),1.03(0.96),2(0.23),0.05,27,31
WEFFL(100),3,Biotown,12(0.52),0.08(0.52),0.2(0.52),0.05(0.7),0.78(0.78),-0.02(0.94),0.8(0.94),6(0.99),0.01,31,43
WEFFL(20),4,Biotown,9(0.4),0.11(0.4),9.34(0.4),0.05(0.79),0.05(0.07),-0.01(0.99),-0.01(0.99),7(0.93),0.02,42,47
WEFFL(20),5,Biotown,0(0.62),0.11(0.62),9.29(0.62),0.08(0.98),-0.02(0.97),NaN(NA),NaN(NA),1(0.98),0.02,28,42
WMID(10),2,Biotown,1(0.89),1.08(0.89),1.51(0.89),0.12(0.95),-0.04(0.93),NaN(NA),NaN(NA),2(0.9),0.07,30,31
WMID(10),3,Biotown,-303(-0.06),0(-0.06),-0.08(-0.06),0.05(0.98),0.01(0.98),NaN(NA),NaN(NA),16(0.12),0.02,42,50
WMID(50),3,Biotown,12(0.81),0.08(0.81),0.04(0.81),0(0.98),0.96(0.96),-0.02(0.9),4.93(0.9),7(0.98),0.01,18,29
WMID(50),4,Biotown,12(0.28),0.08(0.28),0.12(0.28),0.07(0.87),-0.13(0.95),-0.02(0.9),1.72(0.9),1(0.92),0.02,34,43
WMID(50),5,Biotown,10(0.31),0.1(0.31),0.12(0.31),0.08(0.96),-0.09(1),-0.02(0.74),3.99(0.74),3(0.97),0.02,22,32
